province,type_property,subtype_property,price,state_of_property,heating_type,sun_exposure,livable_surface,epc_score,latitude,longitude,facades,bedrooms,bathrooms,toilets,terrace,garden,garage,swimming_pool,flooding_area_type,construction_year
antwerp,apartment,apartment,199000.0,normal,hot_air,not_specified,70.0,b,51.0915149,4.3731727,2,2.0,1,1,1,0,0,0,(information_not_available),2005.0
antwerp,house,residence,279000.0,to_be_renovated,gas,south,145.0,f,51.04717,4.927896,4,3.0,1,2,0,0,1,0,possible_flooding_area,1977.0
antwerp,house,residence,315000.0,to_be_renovated,fuel_oil,west,182.0,f,51.18507,4.935103,4,3.0,1,2,1,1,1,0,no_flooding_area,1972.0
antwerp,house,residence,349000.0,normal,gas,east,231.0,d,51.16476685,4.94434718,4,3.0,1,1,1,1,1,0,no_flooding_area,1973.0
antwerp,house,residence,525000.0,excellent,gas,south_west,244.0,c,51.06843,4.834864,3,4.0,1,1,1,1,0,0,no_flooding_area,1948.0
antwerp,house,residence,279000.0,normal,gas,south,153.0,e,51.16608,5.041978,3,3.0,1,1,1,1,1,0,no_flooding_area,1959.0
antwerp,apartment,apartment,499000.0,normal,gas,not_specified,187.0,b,51.16051,4.989314,2,2.0,1,2,1,0,1,0,no_flooding_area,2002.0
antwerp,apartment,apartment,325000.0,excellent,gas,east,115.0,b,51.09644,4.945124,2,2.0,1,1,1,1,1,0,no_flooding_area,2001.0
antwerp,house,residence,285000.0,to_be_renovated,gas,south,143.0,c,51.0934136,4.83049131,3,3.0,1,1,1,1,0,0,no_flooding_area,1930.0
antwerp,apartment,apartment,229000.0,excellent,gas,not_specified,56.0,b,51.16032,4.97887,3,1.0,1,1,1,0,1,0,no_flooding_area,2005.0
antwerp,house,residence,469000.0,excellent,gas,south,201.0,b,51.1797884,5.1000118,3,4.0,1,2,0,0,1,0,no_flooding_area,2012.0
antwerp,house,residence,269000.0,to_be_renovated,fuel_oil,west,147.0,f,51.15105,4.993814,3,4.0,1,1,1,1,0,0,no_flooding_area,1969.0
antwerp,house,residence,379000.0,normal,gas,west,225.0,d,51.17105,4.975297,3,3.0,1,2,1,1,1,0,no_flooding_area,1980.0
antwerp,apartment,apartment,259000.0,normal,gas,east,115.0,f,51.19978,5.130076,1,2.0,1,1,1,0,1,0,no_flooding_area,1966.0
antwerp,apartment,apartment,239000.0,excellent,gas,south,62.0,b,51.1634492,4.9846615,2,1.0,1,1,1,0,1,0,no_flooding_area,2007.0
antwerp,apartment,apartment,289000.0,normal,gas,north_east,90.0,a,51.1610959,4.9934994,2,1.0,1,1,1,0,0,0,no_flooding_area,2014.0
antwerp,apartment,apartment,275000.0,normal,gas,north,76.0,b,51.13927,4.90426,2,2.0,1,1,1,0,0,0,no_flooding_area,2005.0
antwerp,house,residence,399000.0,new,not_specified,south,180.0,not_specified,51.0546,4.979211,3,3.0,1,2,1,1,0,0,no_flooding_area,2025.0
antwerp,house,residence,399000.0,new,not_specified,south,180.0,not_specified,51.05462,4.979314,3,3.0,1,2,1,1,0,0,no_flooding_area,2025.0
antwerp,house,residence,420000.0,new,not_specified,south,180.0,not_specified,51.05465,4.979494,3,3.0,1,2,1,1,0,0,no_flooding_area,2025.0
antwerp,house,residence,399000.0,new,not_specified,south,180.0,not_specified,51.05467,4.979597,3,3.0,1,2,1,1,0,0,no_flooding_area,2025.0
antwerp,house,residence,260000.0,to_be_renovated,fuel_oil,north_east,212.0,d,51.06898,4.979475,4,3.0,1,2,1,1,1,0,no_flooding_area,1972.0
antwerp,house,residence,330000.0,to_be_renovated,fuel_oil,not_specified,179.0,e,51.10569,4.985679,4,3.0,1,2,1,0,0,0,no_flooding_area,1919.0
antwerp,apartment,apartment,295000.0,normal,gas,east,72.0,a,51.16922,4.985899,3,1.0,1,1,1,0,0,0,no_flooding_area,2014.0
antwerp,house,residence,510000.0,normal,fuel_oil,north_west,230.0,c,51.17382,5.010677,4,5.0,1,2,1,1,1,0,no_flooding_area,1977.0
antwerp,house,residence,335000.0,normal,gas,west,157.0,c,51.08261,5.028219,2,3.0,1,1,1,1,1,0,no_flooding_area,1967.0
antwerp,house,residence,449000.0,normal,not_specified,not_specified,181.0,b,51.068547,4.9951089,4,3.0,1,2,0,1,0,0,no_flooding_area,1963.0
antwerp,house,residence,375000.0,normal,gas,south,251.0,b,51.16482,4.94771,4,5.0,1,0,1,1,0,0,no_flooding_area,1958.0
antwerp,apartment,apartment,279000.0,normal,gas,not_specified,96.0,a,51.1678,4.988263,2,2.0,2,1,0,0,1,0,no_flooding_area,2012.0
antwerp,house,residence,395000.0,excellent,gas,south,148.0,c,51.0894059,4.8284321,4,3.0,1,2,1,1,1,0,no_flooding_area,1999.0
antwerp,house,residence,239500.0,to_be_renovated,gas,east,151.0,f,51.13545,4.90548,3,3.0,1,2,1,1,1,0,no_flooding_area,1972.0
antwerp,house,residence,360000.0,to_be_renovated,not_specified,north,165.0,e,51.07425,4.893768,4,3.0,1,0,1,1,0,0,no_flooding_area,1968.0
antwerp,house,residence,309000.0,to_be_renovated,fuel_oil,north,169.0,f,51.09893,4.994894,4,3.0,1,1,0,1,1,0,no_flooding_area,1960.0
antwerp,house,residence,330000.0,normal,gas,north,210.0,d,51.06541,4.979812,4,3.0,1,1,1,1,1,0,no_flooding_area,1964.0
antwerp,apartment,apartment,249000.0,normal,gas,north,92.0,b,51.16272,4.98609,2,2.0,1,1,0,0,0,0,no_flooding_area,2001.0
antwerp,apartment,apartment,349000.0,normal,gas,west,124.0,b,51.17926,4.985207,3,2.0,1,1,1,0,0,0,no_flooding_area,1964.0
antwerp,house,residence,435000.0,excellent,gas,south,232.0,d,51.08686,4.848069,4,4.0,2,2,1,1,1,0,no_flooding_area,1984.0
